,0,1
0,0.94537115,0.05462882
1,0.13093266,0.8690673
2,0.82004464,0.17995536
3,0.9880576,0.011942359
4,0.9870042,0.012995757
5,0.99961025,0.00038975227
6,0.9941162,0.005883779
7,0.9235412,0.076458834
8,0.99285537,0.0071446123
9,0.99720913,0.0027908818
10,0.99977607,0.00022390428
11,0.9966348,0.0033651823
12,0.99975985,0.0002401075
13,0.9968545,0.00314554
14,0.99977094,0.00022909527
15,0.99705184,0.0029481607
16,0.9997801,0.00021989844
17,0.9972097,0.0027902327
18,0.99978775,0.0002122477
19,0.9973416,0.0026584729
20,0.9997944,0.00020556475
21,0.9974552,0.0025448436
22,0.9867051,0.013294907
23,0.9995159,0.00048408456
24,0.99813324,0.0018667592
25,0.9915776,0.008422387
26,0.92543864,0.074561335
27,0.99545467,0.0045453175
28,0.9986229,0.001377118
29,0.99383163,0.0061683846
30,0.9469535,0.053046603
31,0.59250027,0.40749976
32,0.84139735,0.15860263
33,0.8982902,0.10170973
34,0.7490468,0.25095326
35,0.5552476,0.4447524
36,0.48213795,0.517862
37,0.77554727,0.22445267
38,0.81865835,0.1813416
39,0.67170256,0.3282974
40,0.547546,0.4524539
41,0.4842255,0.5157745
42,0.44172788,0.5582721
43,0.739253,0.26074705
44,0.7733162,0.22668383
45,0.641743,0.35825694
46,0.53922576,0.4607742
47,0.4801098,0.5198902
48,0.4387401,0.56125987
49,0.40741912,0.59258085
50,0.7027571,0.29724282
51,0.7287013,0.27129877
52,0.613621,0.38637903
53,0.5270423,0.47295767
54,0.47249135,0.5275086
55,0.43317586,0.5668242
56,0.40324986,0.5967501
57,0.380023,0.61997706
58,0.3617805,0.63821954
59,0.5421944,0.45780557
60,0.20447068,0.79552937
61,0.2466062,0.75339377
62,0.2718003,0.72819966
63,0.28834292,0.7116571
64,0.3000319,0.6999681
65,0.30872807,0.69127196
66,0.3154165,0.6845835
67,0.32067862,0.67932135
68,0.32488716,0.67511284
69,0.3282955,0.6717045
70,0.33108374,0.66891634
71,0.33338413,0.6666159
72,0.33529615,0.66470385
73,0.3368964,0.6631036
74,0.3382444,0.6617556
75,0.33938724,0.6606128
76,0.3403626,0.65963745
77,0.34120062,0.65879935
78,0.34192577,0.65807426
79,0.3425579,0.65744215
80,0.3431133,0.65688676
81,0.3436051,0.6563949
82,0.34404433,0.6559557
83,0.34444,0.65555996
84,0.3447994,0.6552006
85,0.34512886,0.6548712
86,0.34543332,0.65456665
87,0.61621225,0.38378772
88,0.8184961,0.1815039
89,0.42707738,0.5729226
90,0.36731267,0.63268733
91,0.8917111,0.1082889
92,0.97421515,0.025784828
93,0.9995697,0.0004302584
94,0.99915457,0.0008454613
95,0.99990094,9.908733e-05
96,0.88279253,0.11720748
97,0.9969699,0.0030301085
98,0.98171806,0.018281959
99,0.9996309,0.00036911044
