,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[18.],[[[0 0 1 0 0]]],[[12.]],[2],[18.],[[0 0 0 0 0]],"[[-0.40509361  1.         -0.61202252  0.07345382  0.14748512  0.53601438
   0.06081227  0.18223436  1.          0.          0.          0.
   0.          0.2       ]]"
1,[9.],[[[1 0 0 0 0]]],[[3.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.14572552  1.         -0.30095342  0.34182912  0.06690296  0.20291069
   0.03954883  0.34880841  0.          0.          1.          0.
   0.          0.3       ]]"
2,[30.],[[[0 0 1 0 0]]],[[10.]],[4],[0.],[[0 0 0 0 0]],"[[-0.41133869  1.         -0.51539427  0.0922766   0.15681162  0.52159345
   0.06445385  0.16486445  0.          0.          1.          0.
   0.          0.4       ]]"
3,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.43928522  0.99344254 -0.12126453  0.21117853  0.18482141  0.42924443
   0.07503204  0.09972354  0.          0.          1.          0.
   0.          0.5       ]]"
4,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-0.53945875  0.9872297   0.06233798  0.24612807  0.20876686  0.40417561
   0.07971451  0.06121495  0.          0.          0.          1.
   0.          0.6       ]]"
5,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[45.],[[0 0 0 0 0]],"[[-0.56359482  0.98691922  0.19233716  0.29758957  0.21197058  0.36326826
   0.0797839   0.0473877   0.          1.          0.          0.
   0.          0.7       ]]"
6,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[24.],[[0 0 0 0 0]],"[[-0.65754366  0.18884182  0.35003078  0.11556516  0.24626595  0.49304533
   0.11297961  0.03214404  0.          0.          1.          0.
   0.          0.8       ]]"
7,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.7457363   0.48132372 -0.52094722  0.01747269  0.1757465   0.67843729
   0.06873399  0.0596094   1.          0.          0.          0.
   0.          0.9       ]]"
8,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[6.],[[0 0 0 0 0]],"[[-0.38363004  0.57890487 -0.01525738  0.17104344  0.18193026  0.45682371
   0.08761417  0.10258847  0.          0.          1.          0.
   0.          1.        ]]"
9,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.55236977  0.79641283 -0.10412998  0.13101907  0.20781077  0.50318623
   0.08355425  0.07442967  1.          0.          0.          0.
   0.          1.1       ]]"
