,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[-0.38007224  1.         -0.56269628  0.08768728  0.14799713  0.51674831
   0.0620503   0.18551697  0.          0.          1.          0.
   0.          0.2       ]]"
1,[18.],[[[0 0 1 0 0]]],[[12.]],[2],[18.],[[0 0 0 0 0]],"[[-0.55383253  1.         -0.56326014  0.05923324  0.17262354  0.58420259
   0.0646591   0.1192815   0.          0.          0.          0.
   1.          0.3       ]]"
2,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[-0.12651974  0.9955579  -0.06355494  0.39285466  0.11496747  0.26809752
   0.05716487  0.16691551  1.          0.          0.          0.
   0.          0.4       ]]"
3,[12.],[[[1 0 0 0 0]]],[[4.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.15495676  1.         -0.09984273  0.48752621  0.06288753  0.15926173
   0.03746794  0.25285655  1.          0.          0.          0.
   0.          0.5       ]]"
4,[9.],[[[1 0 0 0 0]]],[[3.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.47023037  1.         -0.06911802  0.58502382  0.02645111  0.06901196
   0.01934166  0.30017149  0.          0.          0.          0.
   1.          0.6       ]]"
5,[25.],[[[0 0 0 0 1]]],[[17.]],[2],[25.],[[0 0 0 0 0]],"[[ 0.76568687  1.         -0.31856146  0.40736344  0.01179462  0.04070466
   0.01042274  0.52971452  0.          0.          0.          0.
   1.          0.7       ]]"
6,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[ 0.89104372  0.9975177  -0.11105371  0.57605821  0.00756855  0.02217093
   0.00727463  0.38692769  1.          0.          0.          0.
   0.          0.8       ]]"
7,[0.],[[[1 0 0 0 0]]],[[0.001]],[0],[0.],[[0 0 0 0 0]],"[[0.92573208 0.98745501 0.0216782  0.67468148 0.00624068 0.01637994
  0.00616233 0.29653552 1.         0.         0.         0.
  0.         0.9       ]]"
8,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[0.92765802 0.98277539 0.1321393  0.74767727 0.00559104 0.01330801
  0.00554175 0.22788189 0.         0.         0.         0.
  1.         1.        ]]"
9,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[0.95593035 0.99449807 0.15465516 0.76443106 0.00492812 0.0114996
  0.00495735 0.21418379 0.         0.         0.         0.
  1.         1.1       ]]"
