,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.34225604  1.         -0.47918096  0.11631487  0.14840834  0.48379213
   0.06381735  0.18766727  0.          0.          1.          0.
   0.          0.2       ]]"
1,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-0.52089679  1.         -0.42687404  0.08963507  0.18108094  0.54493326
   0.06937915  0.11497153  0.          0.          0.          1.
   0.          0.3       ]]"
2,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[-0.48738766  0.99727464 -0.01140413  0.24008423  0.19663371  0.40922019
   0.07735754  0.07670437  0.          0.          1.          0.
   0.          0.4       ]]"
3,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.58559769  0.98762059  0.11703268  0.24857298  0.2191589   0.40035298
   0.08124548  0.05066962  0.          0.          1.          0.
   0.          0.5       ]]"
4,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.66524196  0.98055542  0.17056856  0.23063657  0.23776296  0.4089599
   0.08393593  0.03870467  0.          0.          1.          0.
   0.          0.6       ]]"
5,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.72548163  0.97522926  0.18188775  0.20508295  0.25173369  0.42478037
   0.08561768  0.0327852   0.          1.          0.          0.
   0.          0.7       ]]"
6,[0.],[[[0 1 0 0 0]]],[[7.]],[0],[21.],[[0 0 0 0 0]],"[[-0.74788147  0.1745494   0.3373313   0.0872937   0.25815496  0.51717895
   0.11219507  0.02517738  0.          0.          1.          0.
   0.          0.8       ]]"
7,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.80598372  0.44937345 -0.57091475  0.01234151  0.17260841  0.69827807
   0.06556121  0.05121075  0.          0.          1.          0.
   0.          0.9       ]]"
8,[0.],[[[0 0 1 0 0]]],[[9.]],[0],[27.],[[0 0 0 0 0]],"[[-0.8028971   0.70055085 -0.37791389  0.03088349  0.20817912  0.64074409
   0.07319482  0.04699846  0.          0.          1.          0.
   0.          1.        ]]"
9,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-0.80705822  0.82677156 -0.16583231  0.06284126  0.23934333  0.57798934
   0.08073483  0.03909122  0.          0.          1.          0.
   0.          1.1       ]]"
