,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[30.],[[[0 0 0 0 1]]],[[20.]],[2],[30.],[[0 0 0 0 0]],"[[ 0.63513958  1.         -0.45462784  0.30301222  0.01718019  0.0654805
   0.01393149  0.60039556  0.          0.          0.          0.
   1.          0.2       ]]"
1,[27.],[[[0 0 0 0 1]]],[[18.]],[2],[27.],[[0 0 0 0 0]],"[[ 0.89047003  1.         -0.41754603  0.33082303  0.00783814  0.03026751
   0.00750366  0.62356764  0.          0.          0.          0.
   1.          0.3       ]]"
2,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[ 0.95266104  0.99798727 -0.17034069  0.52705598  0.00639498  0.01998574
   0.00639286  0.44017044  1.          0.          0.          0.
   0.          0.4       ]]"
3,[0.],[[[1 0 0 0 0]]],[[0.001]],[4],[0.],[[0 0 0 0 0]],"[[ 0.95142603  0.98877382 -0.03391978  0.63344598  0.00600651  0.01664818
   0.00602514  0.33787414  1.          0.          0.          0.
   0.          0.5       ]]"
4,[0.],[[[1 0 0 0 0]]],[[0.001]],[4],[0.],[[0 0 0 0 0]],"[[0.94162059 0.98429507 0.0831862  0.71654707 0.00562469 0.01402189
  0.00562054 0.25818583 1.         0.         0.         0.
  0.         0.6       ]]"
5,[0.],[[[1 0 0 0 0]]],[[1.]],[0],[3.],[[0 0 0 0 0]],"[[0.92858493 0.98097837 0.18314254 0.77750188 0.00526705 0.01198182
  0.00522924 0.20002006 1.         0.         0.         0.
  0.         0.7       ]]"
6,[0.],[[[1 0 0 0 0]]],[[1.]],[0],[3.],[[0 0 0 0 0]],"[[0.9139291  0.97794706 0.2685636  0.82139158 0.00496182 0.01043231
  0.00488821 0.15832619 1.         0.         0.         0.
  0.         0.8       ]]"
7,[0.],[[[1 0 0 0 0]]],[[3.]],[0],[9.],[[0 0 0 0 0]],"[[0.89827716 0.97499412 0.34177485 0.8530643  0.00471886 0.00926971
  0.00460939 0.12833773 0.         0.         0.         0.
  1.         0.9       ]]"
8,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[0.93353248 0.99221683 0.30684763 0.84191138 0.00435502 0.00882649
  0.0043269  0.14058025 0.         0.         0.         0.
  1.         1.        ]]"
9,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[0.95447075 0.99468678 0.28356519 0.83212394 0.0042015  0.00872149
  0.00422719 0.15072589 1.         0.         0.         0.
  0.         1.1       ]]"
