,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[18.],[[[0 0 1 0 0]]],[[12.]],[2],[18.],[[0 0 0 0 0]],"[[-0.29021659  0.38169464 -0.29185721  0.05311305  0.12429488  0.56966376
   0.06800027  0.18492815  0.          0.          1.          0.
   0.          0.02      ]]"
1,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.26922935  0.38526872  0.17702185  0.22868703  0.14200051  0.41043413
   0.04439662  0.17448165  0.          0.          1.          0.
   0.          0.03      ]]"
2,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-0.67843902  0.41086146 -0.38171476  0.014157    0.14572635  0.70857054
   0.07834668  0.05319946  0.          0.          1.          0.
   0.          0.04      ]]"
3,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-0.85297906  0.41543904 -0.49466538  0.00559816  0.13783742  0.74815261
   0.08045308  0.02795869  0.          0.          0.          1.
   0.          0.05      ]]"
4,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[-0.90595162  0.26637429 -0.71236515  0.00147075  0.0958074   0.80894494
   0.07492168  0.01885522  0.          0.          1.          0.
   0.          0.06      ]]"
5,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[-0.87522227  0.26684353 -0.28514129  0.00732419  0.13762435  0.76635307
   0.06492078  0.02377762  0.          0.          1.          0.
   0.          0.07      ]]"
6,[7.],[[[0 0 1 0 0]]],[[10.]],[1],[22.],[[0 0 0 0 0]],"[[-0.89270794  0.26695693 -0.78679001  0.00118019  0.08969022  0.81277257
   0.07700729  0.0193497   0.          0.          1.          0.
   0.          0.08      ]]"
7,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[-0.83981693  0.26756626 -0.28377655  0.00825749  0.13737363  0.7619372
   0.06537319  0.02705844  0.          1.          0.          0.
   0.          0.09      ]]"
8,[0.],[[[0 1 0 0 0]]],[[5.]],[0],[15.],[[0 0 0 0 0]],"[[-0.89230031  0.41447145 -0.87932456  0.00126796  0.09945729  0.78634858
   0.09120411  0.02172201  0.          0.          1.          0.
   0.          0.1       ]]"
9,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-0.75911736  0.41505533 -0.27327928  0.01618688  0.16187307  0.70643944
   0.07444715  0.0410535   0.          0.          1.          0.
   0.          0.11      ]]"
