,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.22228101  0.28885889  0.04667626  0.14517532  0.12574247  0.47711918
   0.04806495  0.20389813  0.          0.          1.          0.
   0.          0.02      ]]"
1,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-0.60850978  0.31591547 -0.30319658  0.01800042  0.13684343  0.71105897
   0.07039548  0.06370172  0.          0.          1.          0.
   0.          0.03      ]]"
2,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-0.82213736  0.32161537 -0.46179265  0.00541169  0.12629625  0.76569343
   0.07362566  0.028973    0.          0.          1.          0.
   0.          0.04      ]]"
3,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[-0.8658455   0.32208067 -0.28843459  0.00862834  0.14635018  0.75087202
   0.06832656  0.02582296  0.          0.          1.          0.
   0.          0.05      ]]"
4,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[24.],[[0 0 0 0 0]],"[[-0.88743484  0.3222051  -0.69572586  0.00192685  0.10414081  0.79363441
   0.0788903   0.02140755  0.          1.          0.          0.
   0.          0.06      ]]"
5,[0.],[[[0 1 0 0 0]]],[[7.]],[0],[21.],[[0 0 0 0 0]],"[[-0.85773009  0.46848509 -0.94912809  0.00127849  0.09965332  0.7749247
   0.09876841  0.02537496  0.          1.          0.          0.
   0.          0.07      ]]"
6,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[24.],[[0 0 0 0 0]],"[[-0.65180612  0.52411157 -0.8168419   0.00452305  0.11561704  0.71978605
   0.10217126  0.0579026   0.          0.          1.          0.
   0.          0.08      ]]"
7,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.23360874  0.52424103  0.25524658  0.36625689  0.13407312  0.28984985
   0.03693334  0.1728868   0.          0.          1.          0.
   0.          0.09      ]]"
8,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.48039836  0.52815735  0.36705449  0.30951235  0.18900658  0.36832744
   0.04220331  0.09095034  1.          0.          0.          0.
   0.          0.1       ]]"
9,[0.],[[[1 0 0 0 0]]],[[1.]],[0],[3.],[[0 0 0 0 0]],"[[-0.41653904  0.40793619  0.76940298  0.60636896  0.12189282  0.19281916
   0.01773835  0.06118065  1.          0.          0.          0.
   0.          0.11      ]]"
