,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.22228101  0.28885889  0.04667626  0.14517532  0.12574247  0.47711918
   0.04806495  0.20389813  0.          0.          0.          0.
   1.          0.02      ]]"
1,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[0.09283441 0.47800907 0.42280173 0.61996794 0.05271918 0.10254592
  0.0132806  0.21148643 1.         0.         0.         0.
  0.         0.03      ]]"
2,[0.],[[[1 0 0 0 0]]],[[0.001]],[1],[0.],[[0 0 0 0 0]],"[[0.32760328 0.12840021 0.81608486 0.78658837 0.01788529 0.04019671
  0.00335535 0.15197422 1.         0.         0.         0.
  0.         0.04      ]]"
3,[0.],[[[1 0 0 0 0]]],[[0.001]],[1],[0.],[[0 0 0 0 0]],"[[0.43211764 0.25447208 0.89422917 0.86414295 0.0094002  0.016071
  0.00159281 0.10879304 0.         0.         0.         0.
  1.         0.05      ]]"
4,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[54.],[[0 0 0 0 0]],"[[5.55574954e-01 8.47858310e-01 9.08659577e-01 9.51943040e-01
  2.79924390e-03 1.89031067e-03 4.02459002e-04 4.29648422e-02
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 6.00000000e-02]]"
5,[2.],[[[1 0 0 0 0]]],[[3.]],[1],[6.],[[0 0 0 0 0]],"[[0.5615586  0.10488243 0.91754884 0.84246975 0.00697416 0.01457951
  0.00125127 0.13472521 0.         0.         0.         0.
  1.         0.07      ]]"
6,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[6.61176980e-01 8.61851394e-01 9.29049551e-01 9.55511212e-01
  1.83887023e-03 1.18622719e-03 2.65130599e-04 4.11986187e-02
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 8.00000000e-02]]"
7,[3.],[[[1 0 0 0 0]]],[[4.]],[1],[9.],[[0 0 0 0 0]],"[[ 0.61610436 -0.0403874   0.93489909  0.81321806  0.00662643  0.01697906
   0.00123806  0.16193829  1.          0.          0.          0.
   0.          0.09      ]]"
8,[4.],[[[1 0 0 0 0]]],[[2.]],[3],[1.],[[0 0 0 0 0]],"[[0.54501414 0.07660737 0.95717162 0.85214067 0.00698357 0.0146817
  0.00119911 0.12499496 0.         0.         0.         0.
  1.         0.1       ]]"
9,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[6.48387551e-01 8.54368567e-01 9.62702751e-01 9.59474981e-01
  1.77992089e-03 1.12477830e-03 2.46062584e-04 3.73742543e-02
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e-01]]"
