trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2020-02-24 05:23:18am, DYNAMIC, random_0, true, LEFT, 8775, 1.0, 0.0, 1.0, 0.0
1,2020-02-24 05:23:22am, DYNAMIC, random_0, false, RIGHT, 4535, 0.0, 1.0, 1.0, 0.0
2,2020-02-24 05:23:26am, DYNAMIC, random_0, true, LEFT, 3159, 1.0, 0.0, 1.0, 0.0
3,2020-02-24 05:23:29am, DYNAMIC, random_0, true, LEFT, 3106, 1.0, 0.0, 1.0, 0.0
4,2020-02-24 05:23:32am, DYNAMIC, random_0, true, LEFT, 2925, 1.0, 0.0, 1.0, 0.0
5,2020-02-24 05:23:35am, DYNAMIC, random_0, true, LEFT, 2905, 0.0, 0.0, 0.0, 0.0
6,2020-02-24 05:23:39am, DYNAMIC, random_0, true, LEFT, 4037, 0.0, 0.0, 0.0, 0.0
7,2020-02-24 05:23:42am, DYNAMIC, random_0, false, RIGHT, 3684, 0.0, 0.0, 0.0, 0.0
8,2020-02-24 05:23:46am, DYNAMIC, random_0, true, LEFT, 4032, 0.0, 0.0, 0.0, 0.0
9,2020-02-24 05:23:49am, DYNAMIC, random_0, true, LEFT, 2899, 0.0, 0.0, 0.0, 0.0
10,2020-02-24 05:23:53am, DYNAMIC, random_0, false, RIGHT, 3392, 0.0, 0.0, 0.0, 0.0
11,2020-02-24 05:23:55am, DYNAMIC, random_0, true, LEFT, 2749, 0.0, 0.0, 0.0, 0.0
12,2020-02-24 05:23:58am, DYNAMIC, random_0, false, RIGHT, 2759, 0.0, 0.0, 0.0, 0.0
13,2020-02-24 05:24:01am, DYNAMIC, random_0, false, RIGHT, 2993, 0.0, 0.0, 0.0, 0.0
14,2020-02-24 05:24:04am, DYNAMIC, random_0, false, RIGHT, 2634, 0.0, 0.0, 0.0, 0.0
15,2020-02-24 05:24:06am, DYNAMIC, random_0, false, RIGHT, 2702, 0.0, 0.0, 0.0, 0.0
16,2020-02-24 05:24:09am, DYNAMIC, random_0, false, RIGHT, 2585, 0.0, 0.0, 0.0, 0.0
17,2020-02-24 05:24:12am, DYNAMIC, random_0, false, RIGHT, 2690, 0.0, 0.0, 0.0, 0.0
18,2020-02-24 05:24:15am, DYNAMIC, random_0, false, RIGHT, 2847, 0.0, 0.0, 0.0, 0.0
19,2020-02-24 05:24:17am, DYNAMIC, random_0, true, LEFT, 2917, 0.0, 0.0, 0.0, 0.0
20,2020-02-24 05:24:20am, DYNAMIC, random_0, false, RIGHT, 2734, 0.0, 1.0, 1.0, 0.0
21,2020-02-24 05:24:23am, DYNAMIC, random_0, true, LEFT, 2683, 0.0, 0.0, 0.0, 0.0
22,2020-02-24 05:24:26am, DYNAMIC, random_0, true, LEFT, 2872, 1.0, 0.0, 1.0, 0.0
23,2020-02-24 05:24:29am, DYNAMIC, random_0, false, RIGHT, 2695, 0.0, 1.0, 1.0, 0.0
24,2020-02-24 05:24:31am, DYNAMIC, random_0, true, LEFT, 2504, 1.0, 0.0, 1.0, 0.0
