trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
25,2020-02-24 05:24:34am, DYNAMIC, random_0, true, LEFT, 3076, 1.0, 0.0, 1.0, 0.0
26,2020-02-24 05:24:37am, DYNAMIC, random_0, false, RIGHT, 3084, 1.0, 1.0, 1.0, 1.0
27,2020-02-24 05:24:41am, DYNAMIC, random_0, true, LEFT, 3540, 0.0, 0.0, 0.0, 0.0
28,2020-02-24 05:24:43am, DYNAMIC, random_0, false, RIGHT, 2788, 0.0, 0.0, 0.0, 0.0
29,2020-02-24 05:24:46am, DYNAMIC, random_0, true, LEFT, 2653, 0.0, 0.0, 0.0, 0.0
30,2020-02-24 05:24:49am, DYNAMIC, random_0, false, RIGHT, 2840, 0.0, 0.0, 0.0, 0.0
31,2020-02-24 05:24:52am, DYNAMIC, random_0, true, LEFT, 2674, 1.0, 0.0, 1.0, 0.0
32,2020-02-24 05:24:57am, DYNAMIC, random_0, false, RIGHT, 4931, 0.0, 1.0, 1.0, 0.0
33,2020-02-24 05:24:59am, DYNAMIC, random_0, true, LEFT, 2714, 1.0, 1.0, 1.0, 1.0
34,2020-02-24 05:25:02am, DYNAMIC, random_0, true, LEFT, 2620, 1.0, 0.0, 1.0, 0.0
35,2020-02-24 05:25:05am, DYNAMIC, random_0, false, RIGHT, 2909, 1.0, 1.0, 1.0, 1.0
36,2020-02-24 05:25:08am, DYNAMIC, random_0, true, LEFT, 2684, 0.0, 0.0, 0.0, 0.0
37,2020-02-24 05:25:10am, DYNAMIC, random_0, false, RIGHT, 2632, 0.0, 0.0, 0.0, 0.0
38,2020-02-24 05:25:13am, DYNAMIC, random_0, true, LEFT, 2668, 1.0, 1.0, 1.0, 1.0
39,2020-02-24 05:25:15am, DYNAMIC, random_0, true, LEFT, 2665, 1.0, 0.0, 1.0, 0.0
40,2020-02-24 05:25:18am, DYNAMIC, random_0, true, LEFT, 2514, 1.0, 1.0, 1.0, 1.0
41,2020-02-24 05:25:21am, DYNAMIC, random_0, true, LEFT, 2981, 1.0, 1.0, 1.0, 1.0
42,2020-02-24 05:25:24am, DYNAMIC, random_0, true, LEFT, 2569, 1.0, 1.0, 1.0, 1.0
43,2020-02-24 05:25:26am, DYNAMIC, random_0, true, LEFT, 2550, 1.0, 1.0, 1.0, 1.0
44,2020-02-24 05:25:29am, DYNAMIC, random_0, true, LEFT, 2689, 1.0, 1.0, 1.0, 1.0
45,2020-02-24 05:25:31am, DYNAMIC, random_0, true, LEFT, 2510, 1.0, 1.0, 1.0, 1.0
46,2020-02-24 05:25:34am, DYNAMIC, random_0, false, RIGHT, 2490, 1.0, 1.0, 1.0, 1.0
47,2020-02-24 05:25:36am, DYNAMIC, random_0, true, LEFT, 2560, 0.0, 0.0, 0.0, 0.0
48,2020-02-24 05:25:39am, DYNAMIC, random_0, false, RIGHT, 2493, 0.0, 0.0, 0.0, 0.0
49,2020-02-24 05:25:41am, DYNAMIC, random_0, true, LEFT, 2612, 0.0, 0.0, 0.0, 0.0
50,2020-02-24 05:25:44am, DYNAMIC, random_0, false, RIGHT, 2681, 0.0, 0.0, 0.0, 0.0
51,2020-02-24 05:25:47am, DYNAMIC, random_0, true, LEFT, 2536, 0.0, 1.0, 0.0, 1.0
52,2020-02-24 05:25:49am, DYNAMIC, random_0, false, RIGHT, 2576, 0.0, 0.0, 0.0, 0.0
53,2020-02-24 05:25:52am, DYNAMIC, random_0, true, LEFT, 2576, 0.0, 1.0, 0.0, 1.0
54,2020-02-24 05:25:54am, DYNAMIC, random_0, false, RIGHT, 2531, 0.0, 0.0, 0.0, 0.0
55,2020-02-24 05:25:57am, DYNAMIC, random_0, true, LEFT, 2490, 0.0, 1.0, 0.0, 1.0
56,2020-02-24 05:25:59am, DYNAMIC, random_0, false, RIGHT, 2451, 0.0, 0.0, 0.0, 0.0
57,2020-02-24 05:26:02am, DYNAMIC, random_0, true, LEFT, 2543, 0.0, 1.0, 0.0, 1.0
58,2020-02-24 05:26:04am, DYNAMIC, random_0, false, RIGHT, 2528, 0.0, 0.0, 0.0, 0.0
59,2020-02-24 05:26:07am, DYNAMIC, random_0, true, LEFT, 2572, 0.0, 1.0, 0.0, 1.0
60,2020-02-24 05:26:09am, DYNAMIC, random_0, false, RIGHT, 2510, 0.0, 0.0, 0.0, 0.0
61,2020-02-24 05:26:12am, DYNAMIC, random_0, true, LEFT, 2632, 0.0, 1.0, 0.0, 1.0
62,2020-02-24 05:26:15am, DYNAMIC, random_0, false, RIGHT, 2558, 0.0, 0.0, 0.0, 0.0
63,2020-02-24 05:26:17am, DYNAMIC, random_0, true, LEFT, 2836, 0.0, 1.0, 0.0, 1.0
64,2020-02-24 05:26:20am, DYNAMIC, random_0, false, RIGHT, 2957, 0.0, 0.0, 0.0, 0.0
65,2020-02-24 05:26:23am, DYNAMIC, random_0, true, LEFT, 2857, 0.0, 1.0, 0.0, 1.0
66,2020-02-24 05:26:26am, DYNAMIC, random_0, true, LEFT, 2539, 0.0, 0.0, 0.0, 0.0
67,2020-02-24 05:26:28am, DYNAMIC, random_0, true, LEFT, 2532, 0.0, 0.0, 0.0, 0.0
68,2020-02-24 05:26:31am, DYNAMIC, random_0, true, LEFT, 2584, 0.0, 0.0, 0.0, 0.0
69,2020-02-24 05:26:34am, DYNAMIC, random_0, true, LEFT, 3116, 0.0, 0.0, 0.0, 0.0
70,2020-02-24 05:26:37am, DYNAMIC, random_0, false, RIGHT, 2592, 0.0, 0.0, 0.0, 0.0
71,2020-02-24 05:26:39am, DYNAMIC, random_0, true, LEFT, 2498, 0.0, 1.0, 0.0, 1.0
72,2020-02-24 05:26:42am, DYNAMIC, random_0, false, RIGHT, 2511, 0.0, 0.0, 0.0, 0.0
73,2020-02-24 05:26:44am, DYNAMIC, random_0, true, LEFT, 2591, 0.0, 1.0, 0.0, 1.0
74,2020-02-24 05:26:47am, DYNAMIC, random_0, false, RIGHT, 2629, 0.0, 0.0, 0.0, 0.0
75,2020-02-24 05:26:49am, DYNAMIC, random_0, true, LEFT, 2508, 0.0, 1.0, 0.0, 1.0
76,2020-02-24 05:26:52am, DYNAMIC, random_0, true, LEFT, 2675, 0.0, 0.0, 0.0, 0.0
77,2020-02-24 05:26:55am, DYNAMIC, random_0, false, RIGHT, 2529, 0.0, 0.0, 0.0, 0.0
78,2020-02-24 05:26:57am, DYNAMIC, random_0, false, RIGHT, 2641, 1.0, 0.0, 0.0, 1.0
79,2020-02-24 05:27:00am, DYNAMIC, random_0, false, RIGHT, 2474, 0.0, 0.0, 0.0, 0.0
80,2020-02-24 05:27:02am, DYNAMIC, random_0, true, LEFT, 2584, 0.0, 1.0, 0.0, 1.0
81,2020-02-24 05:27:05am, DYNAMIC, random_0, true, LEFT, 2598, 0.0, 0.0, 0.0, 0.0
82,2020-02-24 05:27:08am, DYNAMIC, random_0, true, LEFT, 2817, 0.0, 0.0, 0.0, 0.0
83,2020-02-24 05:27:10am, DYNAMIC, random_0, false, RIGHT, 2531, 0.0, 0.0, 0.0, 0.0
84,2020-02-24 05:27:13am, DYNAMIC, random_0, true, LEFT, 2786, 0.0, 0.0, 0.0, 0.0
85,2020-02-24 05:27:16am, DYNAMIC, random_0, false, RIGHT, 2901, 0.0, 0.0, 0.0, 0.0
86,2020-02-24 05:27:18am, DYNAMIC, random_0, false, RIGHT, 2505, 1.0, 0.0, 0.0, 1.0
87,2020-02-24 05:27:21am, DYNAMIC, random_0, false, RIGHT, 2788, 0.0, 0.0, 0.0, 0.0
88,2020-02-24 05:27:24am, DYNAMIC, random_0, false, RIGHT, 2671, 0.0, 0.0, 0.0, 0.0
89,2020-02-24 05:27:27am, DYNAMIC, random_0, true, LEFT, 2941, 0.0, 0.0, 0.0, 0.0
90,2020-02-24 05:27:29am, DYNAMIC, random_0, true, LEFT, 2508, 0.0, 0.0, 0.0, 0.0
91,2020-02-24 05:27:32am, DYNAMIC, random_0, true, LEFT, 2527, 0.0, 0.0, 0.0, 0.0
92,2020-02-24 05:27:34am, DYNAMIC, random_0, true, LEFT, 2593, 0.0, 0.0, 0.0, 0.0
93,2020-02-24 05:27:37am, DYNAMIC, random_0, false, RIGHT, 2556, 0.0, 0.0, 0.0, 0.0
94,2020-02-24 05:27:40am, DYNAMIC, random_0, false, RIGHT, 2615, 0.0, 0.0, 0.0, 0.0
95,2020-02-24 05:27:42am, DYNAMIC, random_0, true, LEFT, 2713, 0.0, 0.0, 0.0, 0.0
96,2020-02-24 05:27:45am, DYNAMIC, random_0, false, RIGHT, 2492, 0.0, 0.0, 0.0, 0.0
97,2020-02-24 05:27:47am, DYNAMIC, random_0, true, LEFT, 2670, 0.0, 0.0, 0.0, 0.0
98,2020-02-24 05:27:50am, DYNAMIC, random_0, true, LEFT, 2593, 0.0, 0.0, 0.0, 0.0
99,2020-02-24 05:27:53am, DYNAMIC, random_0, false, RIGHT, 2629, 0.0, 0.0, 0.0, 0.0
