,0
0,169.0
1,150.0
2,118.0
3,148.0
4,164.0
5,164.0
6,136.0
7,119.0
8,135.0
9,149.0
10,129.0
11,126.0
12,128.0
13,170.0
14,116.0
15,152.0
16,148.0
17,155.0
18,110.0
19,140.0
20,142.0
21,160.0
22,115.0
23,132.0
24,166.0
25,140.0
26,165.0
27,129.0
28,131.0
29,155.0
30,151.0
31,121.0
32,137.0
33,142.0
34,149.0
35,141.0
36,154.0
37,116.0
38,166.0
39,150.0
40,135.0
41,162.0
42,141.0
43,193.0
44,157.0
45,141.0
46,133.0
47,144.0
48,168.0
49,139.0
50,119.0
51,160.0
52,157.0
53,139.0
54,123.0
55,164.0
56,158.0
57,139.0
58,174.0
59,134.0
60,132.0
61,161.0
62,154.0
63,151.0
64,164.0
65,154.0
66,153.0
67,154.0
68,133.0
69,148.0
70,145.0
71,155.0
72,135.0
73,128.0
74,141.0
75,124.0
76,154.0
77,157.0
78,112.0
79,155.0
80,154.0
81,119.0
82,165.0
83,163.0
84,135.0
85,110.0
86,158.0
87,139.0
88,145.0
89,151.0
90,132.0
91,138.0
92,165.0
93,131.0
94,138.0
95,146.0
96,161.0
97,171.0
98,125.0
99,127.0
100,129.0
101,130.0
102,143.0
103,151.0
104,149.0
105,158.0
106,217.0
107,157.0
108,121.0
109,152.0
110,157.0
111,155.0
112,161.0
113,122.0
114,160.0
115,162.0
116,155.0
117,127.0
118,155.0
119,149.0
120,162.0
121,139.0
122,104.0
123,160.0
124,154.0
125,109.0
126,145.0
127,149.0
128,103.0
129,171.0
130,124.0
131,130.0
132,161.0
133,149.0
134,144.0
135,159.0
136,151.0
137,147.0
138,127.0
139,148.0
140,161.0
141,132.0
142,135.0
143,113.0
144,139.0
145,158.0
146,169.0
147,114.0
148,144.0
149,162.0
150,154.0
151,154.0
152,136.0
153,121.0
154,164.0
155,126.0
156,149.0
157,162.0
158,122.0
159,148.0
160,168.0
161,140.0
162,152.0
163,163.0
164,145.0
165,156.0
166,154.0
167,88.0
168,152.0
169,161.0
170,142.0
171,160.0
172,148.0
173,137.0
174,158.0
175,129.0
176,142.0
177,110.0
178,129.0
179,101.0
180,127.0
181,154.0
182,121.0
183,107.0
184,155.0
185,138.0
186,148.0
187,133.0
188,154.0
189,110.0
190,145.0
191,170.0
192,158.0
193,154.0
194,151.0
195,126.0
196,162.0
197,152.0
198,160.0
199,162.0
