,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.18095176  0.82936525 -0.25152034  0.20934439  0.13146457  0.38424522
   0.06645891  0.20848697  0.          0.          0.          0.
   1.          0.2       ]]"
1,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[ 0.18154144  0.94260979 -0.01215271  0.53830987  0.05840228  0.14043288
   0.03609162  0.2267634   0.          0.          0.          1.
   0.          0.3       ]]"
2,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[0.14971283 0.97043496 0.23150527 0.70009691 0.05047153 0.0957232
  0.03034825 0.1233601  1.         0.         0.         0.
  0.         0.4       ]]"
3,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[0.35960484 0.95962203 0.33982569 0.80699903 0.024805   0.04450834
  0.01716779 0.10651988 1.         0.         0.         0.
  0.         0.5       ]]"
4,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[6.],[[0 0 0 0 0]],"[[0.51521903 0.95440358 0.41998124 0.85987091 0.01399786 0.02408237
  0.01074323 0.09130567 1.         0.         0.         0.
  0.         0.6       ]]"
5,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[0.62026244 0.95290065 0.48086908 0.88834339 0.00926789 0.01539139
  0.00762265 0.07937463 1.         0.         0.         0.
  0.         0.7       ]]"
6,[0.],[[[1 0 0 0 0]]],[[0.001]],[0],[0.],[[0 0 0 0 0]],"[[0.68461865 0.95295799 0.52871883 0.9054575  0.00703818 0.0113252
  0.00603813 0.07014107 1.         0.         0.         0.
  0.         0.8       ]]"
7,[0.],[[[1 0 0 0 0]]],[[0.001]],[0],[0.],[[0 0 0 0 0]],"[[0.72001505 0.95317352 0.56748539 0.91671062 0.00591547 0.00924929
  0.00519433 0.06293035 0.         0.         0.         0.
  1.         0.9       ]]"
8,[14.],[[[0 0 0 0 1]]],[[19.]],[1],[42.],[[0 0 0 0 0]],"[[0.81388092 1.         0.11660879 0.74127156 0.00796942 0.0187141
  0.00729537 0.22474949 1.         0.         0.         0.
  0.         1.        ]]"
9,[6.],[[[1 0 0 0 0]]],[[4.]],[2],[6.],[[0 0 0 0 0]],"[[0.85956621 0.99999166 0.17004701 0.77409005 0.00650473 0.01467554
  0.00613675 0.19859301 1.         0.         0.         0.
  0.         1.1       ]]"
