,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.18095176  0.82936525 -0.25152034  0.20934439  0.13146457  0.38424522
   0.06645891  0.20848697  0.          0.          0.          1.
   0.          0.2       ]]"
1,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[-0.18865225  0.9031328   0.10440199  0.4336313   0.12676372  0.2603943
   0.06246876  0.11674192  0.          1.          0.          0.
   0.          0.3       ]]"
2,[18.],[[[0 1 0 0 0]]],[[6.]],[4],[0.],[[0 0 0 0 0]],"[[-0.65852106  1.         -0.04491174  0.15518199  0.23106577  0.47991166
   0.08125418  0.05258647  0.          0.          1.          0.
   0.          0.4       ]]"
3,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[24.],[[0 0 0 0 0]],"[[-0.74053061  0.9999994   0.014072    0.14498959  0.24920171  0.48337942
   0.08313628  0.03929301  1.          0.          0.          0.
   0.          0.5       ]]"
4,[3.],[[[1 0 0 0 0]]],[[4.]],[1],[9.],[[0 0 0 0 0]],"[[-0.55667174  0.99874151  0.08215594  0.25030163  0.21227002  0.40055928
   0.07986957  0.05699946  0.          0.          0.          1.
   0.          0.6       ]]"
5,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[45.],[[0 0 0 0 0]],"[[-0.58006501  0.99486309  0.20025629  0.29497522  0.21551172  0.36445203
   0.08005508  0.04500588  1.          0.          0.          0.
   0.          0.7       ]]"
6,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[6.],[[0 0 0 0 0]],"[[-0.43056959  0.97251511  0.28289792  0.42620537  0.1713261   0.27874413
   0.07068464  0.05303972  0.          0.          0.          0.
   1.          0.8       ]]"
7,[27.],[[[0 0 0 0 1]]],[[18.]],[2],[27.],[[0 0 0 0 0]],"[[-0.21060392  1.         -0.34972224  0.1999066   0.13146642  0.39045966
   0.0616465   0.21652083  0.          1.          0.          0.
   0.          0.9       ]]"
8,[12.],[[[0 1 0 0 0]]],[[8.]],[2],[12.],[[0 0 0 0 0]],"[[-0.50288439  1.         -0.19847155  0.15823805  0.19444941  0.47745687
   0.07553591  0.09431969  0.          0.          0.          0.
   1.          1.        ]]"
9,[25.],[[[0 0 0 0 1]]],[[17.]],[2],[25.],[[0 0 0 0 0]],"[[-0.060836    1.         -0.36907735  0.23915997  0.10205539  0.31701899
   0.05272911  0.28903645  0.          0.          0.          0.
   1.          1.1       ]]"
