,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[ 0.50243276  0.85770822 -0.02587904  0.57136923  0.02616211  0.06984457
   0.02045981  0.31216422  1.          0.          0.          0.
   0.          0.2       ]]"
1,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[0.70789766 0.92090344 0.15821408 0.74098551 0.01143872 0.02617788
  0.0100319  0.21136597 1.         0.         0.         0.
  0.         0.3       ]]"
2,[0.],[[[1 0 0 0 0]]],[[0.001]],[2],[0.],[[0 0 0 0 0]],"[[0.80237639 0.95110655 0.27087229 0.81459612 0.00721492 0.01499065
  0.00666927 0.15652913 0.         0.         0.         0.
  1.         0.4       ]]"
3,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[54.],[[0 0 0 0 0]],"[[0.88034308 0.98881251 0.24429707 0.81145906 0.00562229 0.01195807
  0.00539933 0.16556136 1.         0.         0.         0.
  0.         0.5       ]]"
4,[0.],[[[1 0 0 0 0]]],[[0.001]],[1],[0.],[[0 0 0 0 0]],"[[0.88617378 0.97882056 0.32168975 0.84523267 0.00502167 0.01000817
  0.0048599  0.13487761 0.         0.         0.         0.
  1.         0.6       ]]"
5,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[54.],[[0 0 0 0 0]],"[[0.9273876  0.99273682 0.29020196 0.83458871 0.00454152 0.0093318
  0.00449281 0.14704508 0.         0.         0.         0.
  1.         0.7       ]]"
6,[45.],[[[0 0 0 0 1]]],[[20.]],[3],[15.],[[0 0 0 0 0]],"[[ 0.89399767  1.         -0.45025527  0.30716577  0.00766633  0.03051319
   0.00735378  0.64730096  1.          0.          0.          0.
   0.          0.8       ]]"
7,[4.],[[[1 0 0 0 0]]],[[2.]],[3],[1.],[[0 0 0 0 0]],"[[ 0.94738162  0.99994713 -0.30208534  0.41925737  0.00665051  0.02337552
   0.00661333  0.54410321  1.          0.          0.          0.
   0.          0.9       ]]"
8,[9.],[[[1 0 0 0 0]]],[[4.]],[3],[3.],[[0 0 0 0 0]],"[[ 0.9479509   1.         -0.229791    0.4785921   0.00659118  0.02170157
   0.00656102  0.48655415  1.          0.          0.          0.
   0.          1.        ]]"
9,[6.],[[[1 0 0 0 0]]],[[4.]],[2],[6.],[[0 0 0 0 0]],"[[ 0.94686759  0.99999493 -0.1389036   0.55373794  0.00642148  0.01946951
   0.00639297  0.41397816  0.          0.          0.          0.
   1.          1.1       ]]"
