,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[ 0.50243276  0.85770822 -0.02587904  0.57136923  0.02616211  0.06984457
   0.02045981  0.31216422  1.          0.          0.          0.
   0.          0.2       ]]"
1,[0.],[[[1 0 0 0 0]]],[[3.]],[0],[9.],[[0 0 0 0 0]],"[[0.70789766 0.92090344 0.15821408 0.74098551 0.01143872 0.02617788
  0.0100319  0.21136597 0.         0.         0.         0.
  1.         0.3       ]]"
2,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[54.],[[0 0 0 0 0]],"[[0.82949525 0.98438674 0.16169113 0.76472086 0.00733328 0.01668169
  0.00681847 0.20444572 1.         0.         0.         0.
  0.         0.4       ]]"
3,[1.],[[[1 0 0 0 0]]],[[2.]],[1],[4.],[[0 0 0 0 0]],"[[0.86948287 0.99305695 0.25335965 0.8166821  0.0057194  0.01202117
  0.00544702 0.16013035 1.         0.         0.         0.
  0.         0.5       ]]"
4,[3.],[[[1 0 0 0 0]]],[[4.]],[1],[9.],[[0 0 0 0 0]],"[[0.87320483 0.99951863 0.31973654 0.84806365 0.00511867 0.01011232
  0.00487949 0.13182589 1.         0.         0.         0.
  0.         0.6       ]]"
5,[2.],[[[1 0 0 0 0]]],[[3.]],[1],[6.],[[0 0 0 0 0]],"[[0.86940491 0.998285   0.3805837  0.87151563 0.00474182 0.00886407
  0.00451345 0.11036512 1.         0.         0.         0.
  0.         0.7       ]]"
6,[2.],[[[1 0 0 0 0]]],[[3.]],[1],[6.],[[0 0 0 0 0]],"[[0.85884792 0.99812007 0.43313485 0.8891542  0.00451962 0.0080413
  0.00427489 0.09401002 1.         0.         0.         0.
  0.         0.8       ]]"
7,[0.],[[[1 0 0 0 0]]],[[1.]],[1],[2.],[[0 0 0 0 0]],"[[0.85167122 0.97815704 0.48206317 0.90108514 0.00438212 0.00750817
  0.0041541  0.0828705  1.         0.         0.         0.
  0.         0.9       ]]"
8,[2.],[[[1 0 0 0 0]]],[[3.]],[1],[6.],[[0 0 0 0 0]],"[[0.8310833  0.997226   0.52173549 0.91364413 0.00427601 0.00698859
  0.00397666 0.07111461 1.         0.         0.         0.
  0.         1.        ]]"
9,[3.],[[[1 0 0 0 0]]],[[4.]],[1],[9.],[[0 0 0 0 0]],"[[0.81087375 0.99936479 0.55232912 0.92083502 0.00431579 0.00682993
  0.00395976 0.06405943 1.         0.         0.         0.
  0.         1.1       ]]"
